PolicyNumber,CustomerName,Status,PolicyType,StartDate,EndDate,PremiumAmount,Email
P045,Richard Morgan,Active,Travel,2024-02-01,2025-02-01,280,richard.morgan@example.com
P046,Sandra Bell,Expired,Health,2022-07-07,2023-07-07,630,sandra.bell@example.com
P047,Josephine Murphy,Active,Auto,2023-10-25,2024-10-25,400,josephine.murphy@example.com
P048,Timothy Bailey,Active,Home,2023-12-18,2024-12-18,550,timothy.bailey@example.com
P049,Sharon Rivera,Cancelled,Life,2022-05-30,2023-05-30,700,sharon.rivera@example.com
P050,Frank Cooper,Active,Travel,2024-03-05,2025-03-05,290,frank.cooper@example.com
P051,Emma Richardson,Expired,Health,2022-08-08,2023-08-08,640,emma.richardson@example.com
P052,Scott Cox,Active,Auto,2023-11-15,2024-11-15,410,scott.cox@example.com
P053,Deborah Howard,Active,Home,2024-01-20,2025-01-20,560,deborah.howard@example.com
P054,Raymond Ward,Cancelled,Life,2022-06-30,2023-06-30,710,raymond.ward@example.com
P055,Rebecca Torres,Active,Travel,2024-04-01,2025-04-01,300,rebecca.torres@example.com
P056,Gregory Peterson,Expired,Health,2022-09-09,2023-09-09,650,gregory.peterson@example.com
P057,Stephanie Gray,Active,Auto,2023-12-25,2024-12-25,420,stephanie.gray@example.com
P058,Eric Ramirez,Active,Home,2024-02-18,2025-02-18,570,eric.ramirez@example.com
P059,Laura James,Cancelled,Life,2022-07-30,2023-07-30,720,laura.james@example.com
P060,Stephen Watson,Active,Travel,2024-05-05,2025-05-05,310,stephen.watson@example.com
P061,Janet Brooks,Expired,Health,2022-10-10,2023-10-10,660,janet.brooks@example.com
P062,Patrick Kelly,Active,Auto,2024-01-15,2025-01-15,430,patrick.kelly@example.com
P063,Christine Sanders,Active,Home,2024-03-20,2025-03-20,580,christine.sanders@example.com
P064,Harold Price,Cancelled,Life,2022-08-30,2023-08-30,730,harold.price@example.com
P065,Melissa Bennett,Active,Travel,2024-06-01,2025-06-01,320,melissa.bennett@example.com
P066,Sean Wood,Expired,Health,2022-11-11,2023-11-11,670,sean.wood@example.com
P067,Amy Barnes,Active,Auto,2024-02-25,2025-02-25,440,amy.barnes@example.com
P068,Brenda Ross,Active,Home,2024-04-18,2025-04-18,590,brenda.ross@example.com
P069,Jack Henderson,Cancelled,Life,2022-09-30,2023-09-30,740,jack.henderson@example.com
P070,Anna Coleman,Active,Travel,2024-07-05,2025-07-05,330,anna.coleman@example.com
P071,Henry Jenkins,Expired,Health,2022-12-12,2023-12-12,680,henry.jenkins@example.com
P072,Virginia Perry,Active,Auto,2024-03-15,2025-03-15,450,virginia.perry@example.com
P073,Philip Powell,Active,Home,2024-05-20,2025-05-20,600,philip.powell@example.com
P074,Julie Long,Cancelled,Life,2022-10-10,2023-10-10,750,julie.long@example.com
P075,Adam Patterson,Active,Travel,2024-08-01,2025-08-01,340,adam.patterson@example.com
P076,Heather Hughes,Expired,Health,2023-01-01,2024-01-01,690,heather.hughes@example.com
P077,Arthur Flores,Active,Auto,2024-04-25,2025-04-25,460,arthur.flores@example.com
P078,Marie Washington,Active,Home,2024-06-18,2025-06-18,610,marie.washington@example.com
P079,Jeremy Butler,Cancelled,Life,2022-11-30,2023-11-30,760,jeremy.butler@example.com
P080,Joyce Simmons,Active,Travel,2024-09-05,2025-09-05,350,joyce.simmons@example.com
P081,Lawrence Foster,Expired,Health,2023-02-02,2024-02-02,700,lawrence.foster@example.com
P082,Frances Gonzales,Active,Auto,2024-05-15,2025-05-15,470,frances.gonzales@example.com
P083,Peter Bryant,Active,Home,2024-07-20,2025-07-20,620,peter.bryant@example.com
P084,Gloria Alexander,Cancelled,Life,2022-12-10,2023-12-10,770,gloria.alexander@example.com
P085,Keith Russell,Active,Travel,2024-10-01,2025-10-01,360,keith.russell@example.com
P086,Ann Griffin,Expired,Health,2023-03-03,2024-03-03,710,ann.griffin@example.com
P087,Gerald Diaz,Active,Auto,2024-06-25,2025-06-25,480,gerald.diaz@example.com
P088,Teresa Hayes,Active,Home,2024-08-18,2025-08-18,630,teresa.hayes@example.com
P089,Willie Myers,Cancelled,Life,2023-01-30,2024-01-30,780,willie.myers@example.com
P090,Shirley Ford,Active,Travel,2024-11-05,2025-11-05,370,shirley.ford@example.com
P091,Albert Hamilton,Expired,Health,2023-04-04,2024-04-04,720,albert.hamilton@example.com
P092,Jean Graham,Active,Auto,2024-07-15,2025-07-15,490,jean.graham@example.com
P093,Bruce Sullivan,Active,Home,2024-09-20,2025-09-20,640,bruce.sullivan@example.com
P094,Denise Wallace,Cancelled,Life,2023-02-28,2024-02-28,790,denise.wallace@example.com
P095,Ralph Woods,Active,Travel,2024-12-01,2025-12-01,380,ralph.woods@example.com
P096,Annie Cole,Expired,Health,2023-05-05,2024-05-05,730,annie.cole@example.com
P097,Roy West,Active,Auto,2024-08-25,2025-08-25,500,roy.west@example.com
P098,Marilyn Jordan,Active,Home,2024-10-18,2025-10-18,650,marilyn.jordan@example.com
P099,Billy Owens,Cancelled,Life,2023-03-30,2024-03-30,800,billy.owens@example.com
P100,Janice Fisher,Active,Travel,2025-01-05,2026-01-05,390,janice.fisher@example.com
